Domicile,First year marker,Level of study,Mode of study,Country of HE provider,Academic Year,Number
England,All,Postgraduate (research),All,Northern Ireland,2015/16,140
England,All,Postgraduate (research),All,Northern Ireland,2016/17,140
England,All,Postgraduate (research),All,Northern Ireland,2017/18,155
England,All,Postgraduate (research),All,Northern Ireland,2018/19,135
England,All,Postgraduate (research),All,Scotland,2014/15,1490
England,All,Postgraduate (research),All,Scotland,2015/16,1625
England,All,Postgraduate (research),All,Scotland,2016/17,1670
England,All,Postgraduate (research),All,Scotland,2017/18,1760
England,All,Postgraduate (research),All,Scotland,2018/19,1855
England,All,Postgraduate (research),All,Wales,2014/15,900
England,All,Postgraduate (research),All,Wales,2015/16,955
England,All,Postgraduate (research),All,Wales,2016/17,1085
England,All,Postgraduate (research),All,Wales,2017/18,1070
England,All,Postgraduate (research),All,Wales,2018/19,1120
England,First year,Postgraduate (research),All,England,2014/15,15935
England,First year,Postgraduate (research),All,England,2015/16,15970
England,First year,Postgraduate (research),All,England,2016/17,15820
England,First year,Postgraduate (research),All,England,2017/18,16180
England,First year,Postgraduate (research),All,England,2018/19,16945
England,First year,Postgraduate (research),All,Northern Ireland,2014/15,50
England,First year,Postgraduate (research),All,Northern Ireland,2015/16,40
England,First year,Postgraduate (research),All,Northern Ireland,2016/17,40
England,First year,Postgraduate (research),All,Northern Ireland,2017/18,45
England,First year,Postgraduate (research),All,Northern Ireland,2018/19,35
England,First year,Postgraduate (research),All,Scotland,2014/15,510
England,First year,Postgraduate (research),All,Scotland,2015/16,560
England,First year,Postgraduate (research),All,Scotland,2016/17,550
England,First year,Postgraduate (research),All,Scotland,2017/18,600
England,First year,Postgraduate (research),All,Scotland,2018/19,655
England,First year,Postgraduate (research),All,Wales,2014/15,290
England,First year,Postgraduate (research),All,Wales,2015/16,370
England,First year,Postgraduate (research),All,Wales,2016/17,425
England,First year,Postgraduate (research),All,Wales,2017/18,390
England,First year,Postgraduate (research),All,Wales,2018/19,425
England,Other years,Postgraduate (research),All,England,2014/15,35250
England,Other years,Postgraduate (research),All,England,2015/16,35040
England,Other years,Postgraduate (research),All,England,2016/17,35610
England,Other years,Postgraduate (research),All,England,2017/18,35260
England,Other years,Postgraduate (research),All,England,2018/19,35520
England,Other years,Postgraduate (research),All,Northern Ireland,2014/15,75
England,Other years,Postgraduate (research),All,Northern Ireland,2015/16,100
England,Other years,Postgraduate (research),All,Northern Ireland,2016/17,95
England,Other years,Postgraduate (research),All,Northern Ireland,2017/18,110
England,Other years,Postgraduate (research),All,Northern Ireland,2018/19,100
England,Other years,Postgraduate (research),All,Scotland,2014/15,980
England,Other years,Postgraduate (research),All,Scotland,2015/16,1065
England,Other years,Postgraduate (research),All,Scotland,2016/17,1120
England,Other years,Postgraduate (research),All,Scotland,2017/18,1160
England,Other years,Postgraduate (research),All,Scotland,2018/19,1200
England,Other years,Postgraduate (research),All,Wales,2014/15,610
England,Other years,Postgraduate (research),All,Wales,2015/16,590
England,Other years,Postgraduate (research),All,Wales,2016/17,660
England,Other years,Postgraduate (research),All,Wales,2017/18,680
England,Other years,Postgraduate (research),All,Wales,2018/19,695
England,All,Postgraduate (research),All,All,2014/15,53695
England,All,Postgraduate (research),All,All,2015/16,53730
England,All,Postgraduate (research),All,All,2016/17,54325
England,All,Postgraduate (research),All,All,2017/18,54425
England,All,Postgraduate (research),All,All,2018/19,55575
England,All,Postgraduate (research),Full-time,All,2014/15,33720
England,All,Postgraduate (research),Full-time,All,2015/16,34120
England,All,Postgraduate (research),Full-time,All,2016/17,34865
England,All,Postgraduate (research),Full-time,All,2017/18,35140
England,All,Postgraduate (research),Full-time,All,2018/19,36200
England,All,Postgraduate (research),Part-time,All,2014/15,19975
England,All,Postgraduate (research),Part-time,All,2015/16,19610
England,All,Postgraduate (research),Part-time,All,2016/17,19455
England,All,Postgraduate (research),Part-time,All,2017/18,19280
England,All,Postgraduate (research),Part-time,All,2018/19,19375
England,First year,Postgraduate (research),All,All,2014/15,16780
England,First year,Postgraduate (research),All,All,2015/16,16940
England,First year,Postgraduate (research),All,All,2016/17,16835
England,First year,Postgraduate (research),All,All,2017/18,17215
England,First year,Postgraduate (research),All,All,2018/19,18060
England,First year,Postgraduate (research),Full-time,All,2014/15,12225
England,First year,Postgraduate (research),Full-time,All,2015/16,12385
England,First year,Postgraduate (research),Full-time,All,2016/17,12460
England,First year,Postgraduate (research),Full-time,All,2017/18,12865
England,First year,Postgraduate (research),Full-time,All,2018/19,13490
England,First year,Postgraduate (research),Part-time,All,2014/15,4555
England,First year,Postgraduate (research),Part-time,All,2015/16,4555
England,First year,Postgraduate (research),Part-time,All,2016/17,4375
England,First year,Postgraduate (research),Part-time,All,2017/18,4350
England,First year,Postgraduate (research),Part-time,All,2018/19,4565
England,Other years,Postgraduate (research),All,All,2014/15,36915
England,Other years,Postgraduate (research),All,All,2015/16,36795
England,Other years,Postgraduate (research),All,All,2016/17,37490
England,Other years,Postgraduate (research),All,All,2017/18,37210
England,Other years,Postgraduate (research),All,All,2018/19,37515
England,Other years,Postgraduate (research),Full-time,All,2014/15,21490
England,Other years,Postgraduate (research),Full-time,All,2015/16,21740
England,Other years,Postgraduate (research),Full-time,All,2016/17,22405
England,Other years,Postgraduate (research),Full-time,All,2017/18,22280
England,Other years,Postgraduate (research),Full-time,All,2018/19,22710
England,Other years,Postgraduate (research),Part-time,All,2014/15,15420
England,Other years,Postgraduate (research),Part-time,All,2015/16,15055
England,Other years,Postgraduate (research),Part-time,All,2016/17,15080
England,Other years,Postgraduate (research),Part-time,All,2017/18,14930
England,Other years,Postgraduate (research),Part-time,All,2018/19,14805
England,First year,Postgraduate (taught),Full-time,England,2014/15,57210
England,First year,Postgraduate (taught),Full-time,England,2015/16,58795
England,First year,Postgraduate (taught),Full-time,England,2016/17,73795
England,First year,Postgraduate (taught),Full-time,England,2017/18,77065
England,First year,Postgraduate (taught),Full-time,England,2018/19,76785
England,First year,Postgraduate (taught),Full-time,Northern Ireland,2014/15,50
England,First year,Postgraduate (taught),Full-time,Northern Ireland,2015/16,55
England,First year,Postgraduate (taught),Full-time,Northern Ireland,2016/17,155
England,First year,Postgraduate (taught),Full-time,Northern Ireland,2017/18,230
England,First year,Postgraduate (taught),Full-time,Northern Ireland,2018/19,280
England,First year,Postgraduate (taught),Full-time,Scotland,2014/15,1040
England,First year,Postgraduate (taught),Full-time,Scotland,2015/16,1025
England,First year,Postgraduate (taught),Full-time,Scotland,2016/17,1465
