,UKPRN,HE provider,Country of HE provider,Academic Year,Level of study,Female,Male,Other,% Female,% Male,% Other
103,10001883.0,De Montfort University,England,2018/19,Postgraduate (research),290,280,0,50.877192982456144,49.122807017543856,0.0
104,10001883.0,De Montfort University,England,2018/19,Postgraduate (taught),1725,1755,10,49.4269340974212,50.286532951289395,0.28653295128939826
105,10002681.0,Glasgow School of Art,Scotland,2018/19,All,1520,730,35,66.52078774617067,31.947483588621445,1.5317286652078774
106,10002681.0,Glasgow School of Art,Scotland,2018/19,All postgraduate,405,255,10,60.447761194029844,38.059701492537314,1.4925373134328357
107,10002681.0,Glasgow School of Art,Scotland,2018/19,All undergraduate,1115,475,25,69.04024767801857,29.411764705882355,1.5479876160990713
108,10002681.0,Glasgow School of Art,Scotland,2018/19,First degree,1075,460,25,68.91025641025641,29.48717948717949,1.6025641025641024
109,10002681.0,Glasgow School of Art,Scotland,2018/19,Other undergraduate,40,15,0,72.72727272727273,27.27272727272727,0.0
110,10002681.0,Glasgow School of Art,Scotland,2018/19,Postgraduate (research),35,15,0,70.0,30.0,0.0
111,10002681.0,Glasgow School of Art,Scotland,2018/19,Postgraduate (taught),375,240,10,60.0,38.4,1.6
112,10002718.0,Goldsmiths College,England,2018/19,All,6830,3550,30,65.60999039385207,34.10182516810759,0.2881844380403458
113,10002718.0,Goldsmiths College,England,2018/19,All postgraduate,2640,1045,25,71.15902964959568,28.167115902964962,0.6738544474393532
114,10002718.0,Goldsmiths College,England,2018/19,All undergraduate,4190,2505,5,62.537313432835816,37.38805970149254,0.0746268656716418
115,10002718.0,Goldsmiths College,England,2018/19,First degree,4105,2475,5,62.33864844343204,37.58542141230068,0.07593014426727411
116,10002718.0,Goldsmiths College,England,2018/19,Other undergraduate,85,25,0,77.27272727272727,22.727272727272727,0.0
117,10002718.0,Goldsmiths College,England,2018/19,Postgraduate (research),205,155,0,56.94444444444444,43.05555555555556,0.0
118,10002718.0,Goldsmiths College,England,2018/19,Postgraduate (taught),2435,890,25,72.68656716417911,26.56716417910448,0.7462686567164178
119,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,All,7710,11405,0,40.334815589850905,59.665184410149095,0.0
120,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,All postgraduate,4035,5100,0,44.17077175697865,55.82922824302135,0.0
121,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,All undergraduate,3675,6305,0,36.82364729458918,63.17635270541082,0.0
122,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,First degree,3675,6305,0,36.82364729458918,63.17635270541082,0.0
123,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,Postgraduate (research),1790,2555,0,41.19677790563866,58.80322209436134,0.0
124,10003270.0,"Imperial College of Science, Technology and Medicine",England,2018/19,Postgraduate (taught),2240,2540,0,46.86192468619247,53.13807531380753,0.0
125,10003324.0,The Institute of Cancer Research,England,2018/19,All,165,100,0,62.264150943396224,37.735849056603776,0.0
126,10003324.0,The Institute of Cancer Research,England,2018/19,All postgraduate,165,100,0,62.264150943396224,37.735849056603776,0.0
127,10003324.0,The Institute of Cancer Research,England,2018/19,Postgraduate (research),90,65,0,58.06451612903226,41.935483870967744,0.0
128,10003324.0,The Institute of Cancer Research,England,2018/19,Postgraduate (taught),70,35,0,66.66666666666666,33.33333333333333,0.0
129,10003614.0,The University of Winchester,England,2018/19,All,5170,2580,20,66.53796653796654,33.204633204633204,0.2574002574002574
130,10003614.0,The University of Winchester,England,2018/19,All postgraduate,915,395,0,69.8473282442748,30.15267175572519,0.0
131,10003614.0,The University of Winchester,England,2018/19,All undergraduate,4255,2185,15,65.91789310611928,33.84972889233153,0.23237800154918667
132,10003614.0,The University of Winchester,England,2018/19,First degree,4195,2175,15,65.70086139389193,34.06421299921691,0.23492560689115116
133,10003614.0,The University of Winchester,England,2018/19,Other undergraduate,60,10,0,85.71428571428571,14.285714285714285,0.0
134,10003614.0,The University of Winchester,England,2018/19,Postgraduate (research),125,80,0,60.97560975609756,39.02439024390244,0.0
135,10003614.0,The University of Winchester,England,2018/19,Postgraduate (taught),790,315,0,71.49321266968326,28.50678733031674,0.0
136,10003645.0,King's College London,England,2018/19,All,20615,11745,535,62.66909864721082,35.70451436388509,1.6263869889040887
137,10003645.0,King's College London,England,2018/19,All postgraduate,8445,4845,405,61.66484118291348,35.37787513691128,2.9572836801752467
138,10003645.0,King's College London,England,2018/19,All undergraduate,12170,6900,130,63.38541666666667,35.9375,0.6770833333333334
139,10003645.0,King's College London,England,2018/19,First degree,11250,6680,85,62.447960033305584,37.08021093533167,0.4718290313627533
